"task","word_1","word_2","correct","error_position_syllable_word_2","error_position_word_2","inflection_type_word_2","syllable","conj_form","word_frequency_word_2","CV_word_1","CV_word_2","stim1","stim2","condition","stim1_correct","is_null","isi"
"conjugation","nous","dormons",1,"0","0",1,2,"1_ps_plr",392.09,"CVC","CCCCVCVC","nous","dormons","verb-true",1,0,500
"declination","les","rêve",0,"na","na",2,2,"na",158.75,"CVVCV","CVCCVC","les","rêve","noun-false",0,0,500
"conjugation","tu","fait",0,"1","3",1,1,"2_ps_sgl",8813.48,"CV","CVCCCC","tu","fait","verb-false",0,0,500
"conjugation","vous","conduisent",0,"1","2",1,1,"2_ps_plr",169.64,"VCC","CVCCCC","vous","conduisent","verb-false",0,0,500
"conjugation","vous","conduisez",1,"0","0",1,1,"2_ps_plr",169.64,"VCC","CVCCCC","vous","conduisez","verb-true",1,0,500
"declination","les","hommes",1,"na","na",2,2,"na",1123.55,"CVCCCV","CVVCVC","les","hommes","noun-true",1,0,500
"conjugation","tu","portez",0,"1","2",1,1,"2_ps_sgl",319.98,"CV","CCVCCC","tu","portez","verb-false",0,0,500
"declination","les","puce",0,"na","na",2,2,"na",27.65,"CVCCCV","CCVCCVC","les","puce","noun-false",0,0,500
"conjugation","tu","vivons",0,"1","3",1,1,"2_ps_sgl",510.19,"CV","CVCCCC","tu","vivons","verb-false",0,0,500
"declination","la","femme",1,"na","na",2,2,"na",1049.32,"CVVCVC","CCVVVC","la","femme","noun-true",1,0,500
"declination","les","tarifs",1,"na","na",2,2,"na",6.26,"CVVCV","CVCVC","les","tarifs","noun-true",1,0,500
"conjugation","nous","peins",0,"2","3",1,2,"1_ps_plr",36.05,"CVC","CVCVCC","nous","peins","verb-false",0,0,500
"conjugation","je","vais",1,"0","0",1,2,"1_ps_sgl",9992.77,"VCC","CVCV","je","vais","verb-true",1,0,500
"declination","des","hérissons",1,"na","na",2,2,"na",0.75,"CVVCV","VCVC","des","hérissons","noun-true",1,0,500
"declination","des","bonnet",0,"na","na",2,2,"na",8.37,"VCCV","CVCVC","des","bonnet","noun-false",0,0,500
"conjugation","nous","mangeons",1,"0","0",1,2,"1_ps_plr",467.82,"CVC","VCCVC","nous","mangeons","verb-true",1,0,500
"conjugation","vous","paies",0,"1","3",1,1,"2_ps_plr",416.68,"VCC","CVCCCC","vous","paies","verb-false",0,0,500
